course,department,semester,day_of_week,subject_name,teacher_name,start_time,end_time,room_number,subject_code,group
Bachelor's in Hotel Management,Department of tourism and hospitality,2,Thursday,Practical Housekeeping Skills - II,Dr. Aarti,12:30,13:30,CR2,24-THM-S-180,B
Bachelor's in Hotel Management,Department of tourism and hospitality,2,Thursday,Urdu (AEC) Compulsory,Urdu Dept.,15:00,16:00,Urdu Dept.,AEC-URD,BOTH
Bachelor's in Hotel Management,Department of tourism and hospitality,2,Thursday,Islamiat (AEC) Compulsory,Arabic Dept.,16:00,17:00,H115,AEC-ISL,BOTH
Bachelor's in Hotel Management,Department of tourism and hospitality,2,Friday,Practical Food Production Foundation - II,Dr. Akash,09:30,10:30,Kitchen,24-THM-D1-176,A
Bachelor's in Hotel Management,Department of tourism and hospitality,2,Friday,Practical Food Production Foundation - II,Dr. Akash,10:30,11:30,Kitchen,24-THM-D1-176,A
Bachelor's in Hotel Management,Department of tourism and hospitality,2,Friday,Practical Food Production Foundation - II,Dr. Akash,11:30,12:30,Kitchen,24-THM-D1-176,A
Bachelor's in Hotel Management,Department of tourism and hospitality,2,Friday,Practical F&B Service Foundation - II,Mr. Mohit,10:30,11:30,Restaurant,24-THM-D1-177,B
Bachelor's in Hotel Management,Department of tourism and hospitality,2,Friday,Practical F&B Service Foundation - II,Mr. Mohit,11:30,12:30,Restaurant,24-THM-D1-177,B
Bachelor's in Hotel Management,Department of tourism and hospitality,2,Friday,Practical F&B Service Foundation - II,Mr. Mohit,14:00,15:00,Restaurant,24-THM-D1-177,A
Bachelor's in Hotel Management,Department of tourism and hospitality,2,Friday,Practical F&B Service Foundation - II,Mr. Mohit,15:00,16:00,Restaurant,24-THM-D1-177,A
Bachelor's in Hotel Management,Department of tourism and hospitality,2,Friday,Practical Food Production Foundation - II,Dr. Akash,14:00,15:00,Kitchen,24-THM-D1-176,B
Bachelor's in Hotel Management,Department of tourism and hospitality,2,Friday,Practical Food Production Foundation - II,Dr. Akash,15:00,16:00,Kitchen,24-THM-D1-176,B
Bachelor's in Hotel Management,Department of tourism and hospitality,2,Friday,Practical Food Production Foundation - II,Dr. Akash,16:00,17:00,Kitchen,24-THM-D1-176,B
